Avg_Temperature_C_Jan,Avg_Temperature_C_Feb,Avg_Temperature_C_Mar,Avg_Temperature_C_Nov,Avg_Temperature_C_Dec,Rainfall_mm_Jan,Rainfall_mm_Feb,Rainfall_mm_Mar,Rainfall_mm_Nov,Rainfall_mm_Dec,Crop_Yield_t_per_ha,Seasonal_Avg_Temp_Nov_Mar,Seasonal_Avg_Rain_Nov_Mar
15.61,20.39,31.6,20.95,17.325,24.45,13.9,20.15,137.88,29.53,3.1631059272368107,21.175,45.182
16.87,21.08,38.18,22.57,16.9,21.85,40.06,32.08,44.0,45.58,1.4253714246401836,23.12,36.714
21.03,15.95,35.66,23.26,17.83,26.31,38.54,25.82,112.05,18.78,2.74,22.746,44.3
15.78,18.41,23.39,23.39,17.62,19.48,16.22,18.39,147.04,33.9,3.721634667905811,19.718,47.00599999999999
18.2,14.47,32.74,21.97,16.95,8.69,9.73,20.87,101.85,19.86,3.62,20.866000000000003,32.2
17.99,21.01,31.34,25.4,17.9175,8.42,28.77,20.27,111.8,20.3475,3.4287439234467287,22.7315,37.9215
20.1,20.63,38.23,25.23,19.79,14.65,21.98,13.11,69.32,26.35,2.976253637564261,24.796,29.081999999999997
18.8,17.03,28.32,24.65,17.49,26.47,35.74,5.36,91.26,3.31,4.48,21.258,32.428000000000004
17.69,13.53,28.53,22.32,14.7,30.62,22.35,23.19,115.62,19.5,3.858191925947288,19.354,42.256
20.43,18.73,31.09,26.22,19.69,19.1,32.99,23.8,68.8,32.23,2.72,23.232000000000003,35.384
16.41,19.01,28.4,22.15,16.092499999999998,18.85,28.66,16.65,98.21,21.7475,3.2574124897268124,20.4125,36.8235
17.49,21.26,30.68,28.27,11.52,7.52,5.7,21.31,41.44,9.76,3.527495286804445,21.844,17.146
18.56,17.58,30.23,23.18,17.7,13.77,15.07,28.5,107.85,25.88,2.74,21.45,38.214
16.95,17.52,31.19,25.23,18.02,29.49,28.54,13.87,140.74,29.31,3.9940661065075114,21.782,48.39
19.12,20.31,30.01,25.38,17.13,28.73,15.23,33.6,87.96,22.04,2.67,22.39,37.51199999999999
16.75,17.62,34.61,23.87,19.3225,39.14,22.17,24.96,109.86,23.040000000000003,3.6603324781963456,22.4345,43.83400000000001
21.23,17.51,35.57,22.72,18.64,24.54,29.64,7.72,60.31,24.22,2.94819115079103,23.134000000000004,29.285999999999994
16.62,19.96,24.5,22.26,21.28,42.52,16.75,42.91,70.47,30.1,2.55,20.924,40.55
14.18,21.03,30.19,26.41,19.94,23.97,27.73,4.13,111.52,13.83,4.52250124052993,22.35,36.236
19.0,20.3,31.17,24.09,17.43,7.04,16.99,27.51,95.59,24.01,2.97,22.398,34.228
15.82,19.39,31.12,23.04,18.4175,16.13,28.49,19.28,74.12,22.5075,3.167539579710646,21.5575,32.1055
20.12,19.37,35.64,23.69,19.39,26.17,6.34,22.61,83.55,16.08,3.3385243289313657,23.642000000000003,30.95
20.23,17.28,30.76,25.9,18.32,34.48,6.74,22.6,61.42,25.02,3.06,22.498,30.052
17.83,18.39,36.5,23.35,18.18,21.86,11.87,32.48,51.29,23.96,2.7601009150942644,22.85,28.292
17.23,16.27,32.95,23.87,17.78,24.2,18.59,21.9,78.53,24.97,3.37,21.62,33.638
16.89,17.82,29.59,24.66,17.0425,6.3,45.8,36.39,125.01,23.215,3.2780905738673782,21.2005,47.343
20.46,21.35,29.88,26.43,14.01,7.9,24.19,19.44,104.25,23.74,3.094172501090417,22.426,35.904
18.38,18.27,34.12,23.23,22.64,16.91,18.48,29.57,113.92,23.93,2.57,23.328,40.562
19.14,16.99,28.44,25.02,17.12,26.0,17.64,16.47,101.62,31.66,3.5109357459027395,21.342,38.678
12.22,18.57,33.62,18.89,14.4,22.93,12.07,7.18,128.03,13.53,3.8,19.54,36.748000000000005
19.04,19.11,31.41,22.75,19.15,26.45,20.9,18.49,125.87,27.3875,3.302048194103527,22.292,43.8195
19.45,16.72,34.4,24.0,19.91,25.16,24.32,27.54,75.49,25.13,3.144237114021262,22.896,35.528
14.78,16.46,34.49,21.79,19.32,12.37,10.6,18.06,123.47,29.38,3.14,21.368,38.776
18.47,15.69,29.78,26.05,19.69,33.7,20.65,28.9,80.09,25.59,3.699188655241018,21.936,37.786
17.55,17.87,36.71,22.9,17.68,27.56,39.82,6.72,63.38,29.45,3.91,22.542,33.386
18.57,19.32,31.47,25.17,18.975,23.34,40.1,12.02,89.22,30.7025,3.194064228900197,22.701,39.0765
19.64,20.13,36.15,23.38,19.18,25.07,31.69,26.49,106.57,31.09,2.6590264680400986,23.696,44.182
17.81,19.22,30.66,21.54,18.5,22.79,21.87,21.94,94.67,35.77,3.1,21.546,39.408
20.24,17.56,31.66,25.42,19.3,33.11,8.53,26.33,121.68,29.87,3.58569282511759,22.836,43.90400000000001
16.11,20.5,28.91,25.57,18.92,23.23,24.91,19.5,112.76,26.08,2.75,22.002,41.296
18.2,18.05,36.35,25.9,17.6575,12.27,24.98,29.59,82.69,21.455,3.310554239235596,23.2315,34.197
15.36,20.36,26.86,20.93,16.2,38.31,15.31,33.54,138.33,24.92,3.12651659926144,19.942,50.082
21.1,20.36,38.18,25.96,18.66,21.16,20.68,37.55,109.92,12.52,4.25,24.852,40.366
17.44,17.99,35.37,24.11,17.97,3.35,24.03,5.59,31.52,27.96,3.0138140303574943,22.576,18.49
19.03,19.7,29.79,22.49,17.8,32.05,13.8,25.8,57.33,20.42,2.92,21.762,29.880000000000003
18.35,16.34,28.78,24.25,17.994999999999997,16.33,20.86,-9.21,148.74,23.045,4.634106121779208,21.143,39.953
17.42,19.77,31.46,24.97,18.65,4.37,19.22,51.93,74.61,17.48,2.822826156227144,22.454,33.522000000000006
17.33,16.09,38.19,22.39,16.71,15.96,24.24,9.32,117.89,30.3,2.67,22.142,39.542
21.62,17.39,31.5,23.79,18.54,23.51,0.45,33.06,136.75,23.04,3.487957115273784,22.568,43.362
18.74,20.39,30.79,25.35,18.08,12.1,8.79,25.24,157.0,21.36,4.17,22.67,44.898
18.51,21.33,26.48,24.99,16.900000000000002,29.83,30.14,7.2,105.55,27.595,3.375651578802245,21.642000000000003,40.06299999999999
16.85,23.12,35.45,24.36,16.28,21.22,19.04,12.97,59.94,27.0,2.7090578180704457,23.212,28.034
19.12,19.67,31.79,24.83,18.76,30.81,24.59,3.39,42.11,26.11,2.94,22.834000000000003,25.402
19.74,15.3,34.14,20.13,16.7,22.83,25.86,20.47,63.78,30.44,2.499954783046613,21.202,32.676
17.67,22.62,35.5,27.1,15.86,11.74,13.36,36.21,153.88,26.83,3.53,23.75,48.404
15.66,19.08,30.27,23.65,17.0825,1.98,27.59,-5.91,151.35,13.085,4.579602363799163,21.1485,37.619
20.94,16.66,30.18,23.27,15.26,17.91,30.4,38.26,105.54,3.86,3.4213123022473697,21.262,39.194
20.4,15.91,35.56,22.29,15.31,13.43,25.37,27.19,110.78,10.28,3.03,21.894,37.41
16.81,14.52,33.74,21.92,19.11,7.19,0.52,21.48,115.09,17.9,4.052031126052507,21.22,32.436
17.81,19.63,32.09,22.84,18.65,19.14,25.78,5.08,117.66,20.3,4.18,22.204,37.592000000000006
18.56,22.89,32.33,23.68,17.9275,8.75,21.29,27.26,87.19,12.045,2.9549146850407366,23.0775,31.307
19.65,15.42,30.99,24.03,15.98,20.73,7.05,36.69,99.28,3.45,3.961991488763026,21.214,33.440000000000005
16.85,17.93,29.86,24.97,18.4,14.53,14.57,21.06,76.82,18.56,4.05,21.602,29.108
16.59,18.2,33.5,26.63,17.82,12.72,18.7,9.47,47.41,20.3,3.7672606317736976,22.548,21.72
20.49,14.49,34.92,24.82,19.51,-1.7,14.55,19.69,48.92,5.87,4.1,22.846,17.466
19.58,20.81,33.76,24.45,17.259999999999998,10.91,5.98,41.9,139.21,24.3625,3.0095062020985304,23.172,44.4725
18.52,15.53,33.57,25.93,14.79,27.82,6.8,22.97,112.38,21.85,4.022858110931301,21.668,38.364
17.51,16.22,31.77,26.09,19.64,12.46,11.84,23.41,89.74,38.97,4.28,22.246,35.284
19.42,19.26,32.69,26.66,16.15,20.92,37.63,11.91,129.65,14.87,4.018469304681791,22.836,42.996
15.69,18.33,31.88,19.95,18.46,4.99,11.44,14.65,105.59,21.76,3.59,20.862,31.686
21.37,17.98,32.23,24.1,17.1875,28.82,34.8,11.39,75.07,21.1,3.167453095698768,22.573500000000003,34.23599999999999
17.52,16.85,33.5,23.87,18.54,10.92,27.55,10.22,63.67,19.5,3.5594250177307494,22.056,26.372000000000003
16.28,20.01,34.51,25.09,16.7,16.15,14.23,8.7,131.05,20.47,4.02,22.518,38.12
17.46,17.5,29.97,25.02,13.58,29.48,33.01,-2.3,137.42,23.61,4.199359256082005,20.706,44.24399999999999
17.03,15.82,36.53,20.44,19.93,24.04,11.83,24.02,144.88,20.82,4.25,21.95,45.118
18.99,19.3,31.3,26.93,18.1375,18.62,35.23,17.66,93.23,22.7525,3.5544199125989384,22.9315,37.49849999999999
16.91,15.7,30.2,21.04,18.14,21.11,23.76,17.08,78.4,5.75,3.859783935138166,20.398000000000003,29.22000000000001
18.69,18.65,29.97,21.92,17.08,2.37,16.15,26.12,97.73,30.57,2.51,21.262,34.58800000000001
